Source,Target,Type,ID,Weight
ARE,BGD,Directed,12680,80673418
ITA,CZE,Directed,2854,149811476
FRA,AUT,Directed,3827,159489320
SGP,ARE,Directed,12834,137374983
BEL,EGY,Directed,804,155460966
CHN,CAN,Directed,1660,153068059
MEX,PER,Directed,8699,119415473
COL,IND,Directed,5107,157149008
TUR,ITA,Directed,6046,144384359
UKR,IND,Directed,5318,78942088
IRL,GBR,Directed,5673,141988335
ISR,ITA,Directed,5747,154351563
THA,KHM,Directed,1616,154651621
KOR,HUN,Directed,9497,128076505
NOR,SWE,Directed,11666,82304995
FIN,SWE,Directed,3785,153673502
FRA,CHE,Directed,11806,149164072
CHN,FRA,Directed,3861,135665100
GRC,BGR,Directed,4532,149089164
ARE,ETH,Directed,12729,75627014
KOR,PHL,Directed,9576,146438968
SAU,GHA,Directed,10194,148273852
QAT,BEL,Directed,9270,128666015
BEL,BRA,Directed,761,135563041
DEU,ISR,Directed,5732,129727208
NLD,IRL,Directed,7957,138999595
USA,MAR,Directed,7727,146765252
TUR,EGY,Directed,12476,144817809
POL,FRA,Directed,3993,129982566
AZE,TUR,Directed,589,147288025
DEU,IRL,Directed,5570,144058074
UZB,KAZ,Directed,13516,146828613
TUR,DEU,Directed,12493,143680924
POL,UKR,Directed,9044,73280373
QAT,FRA,Directed,9298,84909833
THA,KOR,Directed,9618,136445653
ESP,MAR,Directed,11393,143708747
GBR,ESP,Directed,11477,137099011
ZAF,CHN,Directed,2207,143606632
EGY,USA,Directed,13291,141771946
BRA,ITA,Directed,5857,140630547
KWT,VNM,Directed,13620,139674669
LAO,CHN,Directed,6652,138844564
JPN,PHL,Directed,6226,140637624
ARE,ZAF,Directed,12839,82522149
ARE,USA,Directed,12873,71933183
ARE,YEM,Directed,12879,73477465
OMN,ARE,Directed,12808,70509962
BRA,PRY,Directed,8590,140744550
QAT,ITA,Directed,6000,140669491
ARE,DEU,Directed,12739,74719609
BRA,ECU,Directed,1193,139085225
ARE,DZA,Directed,12666,69943920
IDN,ITA,Directed,5417,134605619
ARE,UGA,Directed,12865,69684044
IND,ISR,Directed,5181,137205212
ARE,NLD,Directed,12798,70333933
IRN,UZB,Directed,13512,69203980
AUT,FRA,Directed,3828,120465906
KOR,PRT,Directed,9207,136424453
MEX,TUR,Directed,12556,68637285
ARE,AGO,Directed,12667,68523143
PAK,USA,Directed,8577,135921395
SWE,NOR,Directed,11665,135140645
ARE,AZE,Directed,12676,68588379
USA,AUS,Directed,13222,121890631
ARE,SYR,Directed,12855,68060232
NLD,LUX,Directed,7979,128644010
BEL,GRC,Directed,826,132985812
ARE,MOZ,Directed,12794,67870811
THA,MMR,Directed,7772,134516582
IND,JPN,Directed,6175,133376809
SGP,MMR,Directed,10666,111102867
ITA,SVN,Directed,10950,133791775
DEU,LTU,Directed,6823,127301926
ARE,TKM,Directed,12864,67392206
IND,KEN,Directed,5192,122089131
SWE,FIN,Directed,11600,132837908
FRA,PRT,Directed,3994,126128390
ARE,RUS,Directed,12824,93177732
USA,GHA,Directed,13311,133147058
ARE,ZMB,Directed,12880,69064398
ARE,COD,Directed,12717,66750451
FIN,DEU,Directed,3687,129447009
ARE,COL,Directed,12705,73452205
ARE,ARG,Directed,12668,68121795
POL,LTU,Directed,8962,131286714
SAU,SWE,Directed,10292,131016631
KOR,PAK,Directed,9568,129625504
MEX,ITA,Directed,5963,83554839
DEU,UKR,Directed,4406,65974703
ITA,GRC,Directed,4578,129402769
VNM,JPN,Directed,6284,130375610
CHN,GHA,Directed,2070,129079537
KOR,CZE,Directed,2908,106775784
SAU,SDN,Directed,10289,65207991
