MWI,MWI,60,36,96,10259790,4322075,14581865,1,0.718438
COG,COG,59,15,74,13879238,53298,13932536,1,0.77701
ARM,ARM,61,31,92,10778916,2307093,13086009,1,0.889904
NER,NER,63,36,99,5918886,6562987,12481873,0,0.732613
GAB,GAB,57,34,91,11377492,196793,11574285,1,0.719462
PYF,PYF,79,23,102,10635275,170856,10806131,1,0.756741
LAO,LAO,25,61,86,5383330,5388338,10771668,1,0.886247
AND,AND,89,49,138,8437184,1154590,9591774,1,0.733537
NCL,NCL,81,28,109,8889095,245127,9134222,1,0.745443
MDV,MDV,44,29,73,8021318,105813,8127131,1,0.919216
SLE,SLE,49,34,83,7561518,501948,8063466,1,0.830328
LBR,LBR,53,12,65,7773572,101849,7875421,1,0.845433
RWA,RWA,45,19,64,7729257,22660,7751917,1,0.80014
SOM,SOM,20,8,28,7301966,26525,7328491,1,0.893846
DJI,DJI,41,12,53,7094558,61925,7156483,1,0.90628
COK,COK,17,10,27,6973798,15280,6989078,1,0.887681
ANT,ANT,56,39,95,6025941,911458,6937399,1,0.788442
LCA,LCA,76,22,98,6162741,391064,6553805,1,0.705229
GRL,GRL,24,8,32,6538065,3672,6541737,1,0.969231
CPV,CPV,35,9,44,6091151,300355,6391506,1,0.973684
GUM,GUM,24,13,37,5932466,284284,6216750,1,0.891626
FSM,FSM,24,9,33,4110558,2075310,6185868,1,0.693122
FRO,FRO,86,19,105,4632240,361056,4993296,1,0.723803
MNP,MNP,15,14,29,4537590,219299,4756889,1,0.941558
BDI,BDI,36,16,52,3691803,909546,4601349,1,0.85
GNB,GNB,21,2,23,3792048,49006,3841054,1,0.880952
TCA,TCA,20,14,34,3705136,105295,3810431,1,0.880342
GRD,GRD,58,22,80,3359071,94911,3453982,1,0.802579
BMU,BMU,37,18,55,3272903,2846,3275749,1,0.925668
SYC,SYC,53,27,80,3012112,121539,3133651,1,0.85854
VCT,VCT,65,21,86,2416371,445138,2861509,1,0.708077
ERI,ERI,37,10,47,2719825,4105,2723930,1,0.909408
DMA,DMA,52,36,88,2522694,152161,2674855,1,0.6875
CAF,CAF,35,14,49,2119137,342871,2462008,1,0.871341
MYT,MYT,63,8,71,2373398,61959,2435357,1,0.807292
KNA,KNA,51,23,74,1519412,666919,2186331,1,0.693922
TLS,TLS,18,27,45,1593147,355396,1948543,1,0.810084
GNQ,GNQ,28,5,33,1842910,2129,1845039,1,0.921182
PSE,PSE,15,5,20,1706141,47089,1753230,1,1
CYM,CYM,29,17,46,1712719,7309,1720028,1,0.82958
ATG,ATG,51,25,76,1435688,49031,1484719,1,0.767857
VGB,VGB,36,30,66,1032411,415921,1448332,1,0.762745
COM,COM,30,10,40,1313858,12460,1326318,1,0.828571
SMR,SMR,21,19,40,472269,636641,1108910,1,0.96
GIB,GIB,28,10,38,977110,86678,1063788,1,0.983871
AIA,AIA,43,14,57,1013974,8887,1022861,1,0.76773
TCD,TCD,31,12,43,851151,31620,882771,1,0.836415
BTN,BTN,19,9,28,806284,47739,854023,1,0.987692
VUT,VUT,21,5,26,831545,914,832459,1,0.87747
TON,TON,21,6,27,804963,564,805527,1,0.855
STP,STP,24,12,36,555439,8631,564070,1,0.870968
ASM,ASM,18,17,35,473404,19697,493101,1,0.720798
MHL,MHL,20,8,28,364050,5242,369292,1,0.910769
KIR,KIR,18,8,26,359964,8355,368319,1,0.91342
UMI,UMI,7,15,22,111110,232658,343768,1,0.833333
WLF,WLF,23,1,24,257753,18,257771,1,0.936759
SPM,SPM,9,2,11,239587,526,240113,1,0.963636
ESH,ESH,1,3,4,4820,230948,235768,0,1
SHN,SHN,8,18,26,184330,24002,208332,1,0.878571
TKL,TKL,7,21,28,58994,142307,201301,1,0.936759
MSR,MSR,19,11,30,173238,12221,185459,1,0.83004
TUV,TUV,11,7,18,160447,1218,161665,1,0.838235
CXR,CXR,7,5,12,114872,7056,121928,1,0.890909
NIU,NIU,7,8,15,93779,5897,99676,1,0.956044
PLW,PLW,8,2,10,91045,1403,92448,1,0.9
FLK,FLK,5,4,9,75872,1505,77377,1,1
NFK,NFK,9,4,13,56818,1067,57885,1,0.974359
NRU,NRU,10,8,18,38121,12471,50592,1,0.893382
ATF,ATF,7,4,11,48122,2445,50567,1,0.972222
CCK,CCK,6,9,15,23774,12749,36523,1,0.851648
VAT,VAT,6,6,12,1655,32862,34517,0,0.977778
PCN,PCN,7,5,12,30259,2191,32450,1,0.854545
SGS,SGS,3,1,4,18342,4,18346,1,0.916667
IOT,IOT,1,16,17,1842,9203,11045,1,0.709559
