KIR,KIR,5,1,6,66658,13250,79908,2,0.001209,0,13,0.566667
MYT,MYT,17,2,19,276155,12613,288768,1,0.002298,0,13,0.75817
PYF,PYF,25,4,29,7662458,6763,7669221,4,0.00251,0,13,0.951667
BEN,BEN,24,1,25,20198380,4704,20203084,1,0.004344,0,13,0.801667
VCT,VCT,14,5,19,1256251,2870,1259121,0,0.00192,0,13,0.6
GRD,GRD,14,1,15,425572,1517,427089,3,0.002529,0,13,0.78022
NIU,NIU,3,1,4,41377,1000,42377,3,0.000932,0,13,1
TUV,TUV,4,1,5,332,1000,1332,4,0.001037,0,13,0.65
CAF,CAF,10,1,11,301051,650,301701,2,0.0021,0,13,0.888889
BDI,BDI,16,1,17,15578152,500,15578652,1,0.003733,0,13,0.845833
MHL,MHL,3,1,4,4795,400,5195,4,0.000926,0,13,1
GUY,GUY,29,3,32,8620963,225,8621188,3,0.00454,0,13,0.752874
VUT,VUT,10,2,12,134114,210,134324,1,0.001813,0,13,0.727273
KNA,KNA,10,1,11,541776,137,541913,3,0.002068,0,13,0.609091
GIB,GIB,7,1,8,168587,38,168625,1,0.001147,0,13,0.964286
SLB,SLB,13,1,14,1507830,35,1507865,3,0.001616,0,13,0.917582
CYM,CYM,6,1,7,220513,26,220539,3,0.001193,0,13,0.785714
PSE,PSE,6,1,7,22530524,25,22530549,4,0.001141,0,13,0.904762
MRT,MRT,34,1,35,16011624,7,16011631,1,0.00349,0,13,0.860504
COK,COK,2,1,3,7511,5,7516,1,0.000983,0,13,1
GMB,GMB,18,0,18,2347152,0,2347152,1,0.002226,0,1,0.888889
GNB,GNB,6,0,6,1341810,0,1341810,1,0.001198,0,2,0.833333
TON,TON,7,0,7,152717,0,152717,1,0.001953,0,0,0.785714
CXR,CXR,3,0,3,80554,0,80554,3,0.000913,0,6,1
LSO,LSO,2,0,2,67460,0,67460,4,0.000856,0,5,1
FSM,FSM,7,0,7,60149,0,60149,1,0.002004,0,3,0.738095
VAT,VAT,2,0,2,50450,0,50450,3,0.000868,0,12,1
FLK,FLK,1,0,1,10000,0,10000,1,0.000896,0,11,0
SPM,SPM,2,0,2,4374,0,4374,3,0.000872,0,10,1
HMD,HMD,1,0,1,1020,0,1020,3,0.000781,0,9,0
NFK,NFK,1,0,1,385,0,385,1,0.000807,0,8,0
PLW,PLW,2,0,2,365,0,365,2,0.000861,0,7,1
