LBR,LBR,19,2,21,1043658,36270,1079928,2,0.719048
LSO,LSO,5,2,7,564517,5457,569974,1,0.766667
TKL,TKL,4,2,6,564209,174555,738764,2,0.766667
BDI,BDI,17,0,17,1380803,0,1380803,1,0.805147
AND,AND,11,11,22,662121,511590,1173711,2,0.742105
VAT,VAT,2,1,3,728035,100,728135,0,1
SHN,SHN,7,4,11,368380,154672,523052,0,0.911111
SLB,SLB,11,1,12,689129,22500,711629,1,0.780303
CYM,CYM,8,3,11,253019,117841,370860,0,0.791667
GNQ,GNQ,13,0,13,653512,0,653512,1,0.846154
VGB,VGB,10,1,11,357378,24000,381378,2,0.845455
GUM,GUM,10,1,11,245879,8142,254021,1,0.772727
CAF,CAF,12,1,13,460402,100,460502,2,0.871212
MYT,MYT,9,2,11,353401,1730,355131,2,0.688889
WSM,WSM,9,0,9,203984,0,203984,1,0.875
TCD,TCD,9,0,9,408692,0,408692,2,0.861111
STP,STP,5,1,6,184900,18312,203212,1,0.533333
MHL,MHL,8,3,11,4272,110654,114926,2,0.890909
KNA,KNA,6,3,9,230723,17045,247768,0,0.785714
GRD,GRD,11,2,13,577693,4248,581941,1,0.825758
BMU,BMU,4,2,6,120156,15030,135186,0,0.966667
KIR,KIR,4,0,4,90613,0,90613,0,0.833333
TON,TON,7,4,11,139196,3577,142773,1,0.902778
ATA,ATA,3,1,4,67023,17250,84273,2,0.75
CXR,CXR,2,2,4,86230,42300,128530,1,1
NRU,NRU,2,3,5,25000,97750,122750,2,1
VUT,VUT,4,2,6,65541,392,65933,1,0.733333
SGS,SGS,2,0,2,48700,0,48700,1,1
GRL,GRL,4,1,5,93362,71200,164562,2,1
COM,COM,10,0,10,105280,0,105280,1,0.644444
MNP,MNP,2,0,2,43560,0,43560,0,1
ESH,ESH,1,0,1,39484,0,39484,0,0
TLS,TLS,10,1,11,106444,35500,141944,2,0.990909
MSR,MSR,4,3,7,18424,42708,61132,0,0.738095
AIA,AIA,7,3,10,19257,35300,54557,2,0.847222
ATF,ATF,2,1,3,12248,23375,35623,2,0.5
PCN,PCN,3,1,4,35953,1316,37269,1,0.833333
SPM,SPM,3,0,3,34297,0,34297,2,1
COK,COK,4,1,5,31552,4400,35952,1,1
FSM,FSM,9,0,9,34939,0,34939,1,0.833333
NFK,NFK,1,2,3,1252,7160,8412,1,0.5
FLK,FLK,1,1,2,6000,500,6500,2,1
UMI,UMI,0,4,4,0,4759,4759,2,0.75
NIU,NIU,2,0,2,4765,0,4765,2,1
CCK,CCK,0,1,1,0,3000,3000,2,0
WLF,WLF,6,1,7,5972,2751,8723,1,0.761905
TUV,TUV,4,0,4,293,0,293,1,0.833333
PLW,PLW,2,0,2,115,0,115,1,1
